id,currency,symbol,name,logo_url,status,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,num_exchanges,num_pairs,num_pairs_unmapped,first_candle,first_trade,first_order_book,rank,rank_delta,high,high_timestamp,1d.volume,1d.price_change,1d.price_change_pct,1d.volume_change,1d.volume_change_pct,1d.market_cap_change,1d.market_cap_change_pct,first_priced_at
UNI,UNI,UNI,Uniswap Protocol Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/UNISWAP.svg,active,4.04165041,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,246103972,1000000000.0,994666218,92,334,3,2019-06-03T00:00:00Z,2020-08-24T00:00:00Z,2019-10-11T00:00:00Z,33,2,6.99542829,2020-09-18T00:00:00Z,354198448.12,0.42345609,0.117,-23589832.47,-0.0624,105851799.92,0.1191,
IOT,IOT,IOT,IOTA,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/iot.svg,active,0.34230971,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,2779530283,2779530283.0,951460198,32,96,0,2017-06-12T00:00:00Z,2017-06-12T00:00:00Z,2018-08-29T00:00:00Z,34,-1,5.34969233,2017-12-19T00:00:00Z,19367294.67,0.01017825,0.0306,-18059544.74,-0.4825,28290755.67,0.0306,
HT,HT,HT,Huobi Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ht.jpg,active,3.99561613,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,233370545,500000000.0,932459114,57,299,3,2018-06-16T00:00:00Z,2018-06-16T00:00:00Z,2019-02-15T00:00:00Z,35,-3,5.14680672,2019-08-08T00:00:00Z,109629994.8,0.0368635,0.0093,-77552114.0,-0.4143,8602854.92,0.0093,
YFI,YFI,YFI,yearn.finance,https://nomics-api.s3.us-east-2.amazonaws.com/static/images/currencies/YFI.png,active,30750.87521404,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,30000,30000.0,922526256,86,202,1,2020-07-21T00:00:00Z,2020-07-21T00:00:00Z,2020-07-21T00:00:00Z,36,1,43275.89784,2020-09-12T00:00:00Z,772021676.15,4544.31095476,0.1734,181546145.6,0.3075,136329328.64,0.1734,
ZEC,ZEC,ZEC,Zcash,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/zec.svg,active,75.78614038,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,10602506,,803523027,149,401,23,2016-09-15T00:00:00Z,2016-09-15T00:00:00Z,2018-08-29T00:00:00Z,37,-1,2066.41217915,2016-10-29T00:00:00Z,484184274.87,-2.09073581,-0.0268,-221503125.45,-0.3139,-21615573.92,-0.0262,
ETC,ETC,ETC,Ethereum Classic,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/etc.svg,active,6.25771101,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,116319790,210700000.0,727895631,144,548,94,2016-07-24T00:00:00Z,2016-07-24T00:00:00Z,2018-08-29T00:00:00Z,38,0,42.83573834,2018-01-14T00:00:00Z,594512967.66,-0.01583082,-0.0025,-562546825.5,-0.4862,-1841437.36,-0.0025,
SNX,SNX,SNX,Synthetix Network Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/SNX.png,active,5.34412627,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,134247992,210202519.0,717438223,77,166,1,2018-03-15T00:00:00Z,2018-03-15T00:00:00Z,2019-05-15T00:00:00Z,39,3,7.33654262,2020-08-31T00:00:00Z,61057784.7,0.48231225,0.0992,-1010543.27,-0.0163,65025481.52,0.0997,
WAVES,WAVES,WAVES,Waves,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/WAVES.png,active,7.15767337,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,100000000,100000000.0,715767337,69,1065,3276,2016-06-20T00:00:00Z,2016-11-15T00:00:00Z,2018-08-29T00:00:00Z,40,-1,16.14065542,2017-12-21T00:00:00Z,78939734.89,0.33001598,0.0483,-16565751.28,-0.1735,33001597.88,0.0483,
CETH,CETH,CETH,Compound Ether,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CETH2.svg,active,11.95309266,2020-12-02T00:00:00Z,2020-12-02T20:59:00Z,57127083,57127083.0,682845322,3,7,0,2020-03-25T00:00:00Z,,,41,-1,12.32533759,2020-11-30T00:00:00Z,2544322.98,0.12073123,0.0102,-19765707.6,-0.886,3380314.73,0.005,
BUSD,BUSD,BUSD,Binance USD,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BUSD.png,active,1.00032108,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,658515301,671087297.0,658726735,32,262,8,2017-07-09T00:00:00Z,2019-09-19T00:00:00Z,2019-09-19T00:00:00Z,42,-1,1.02500316,2020-03-12T00:00:00Z,799413079.94,0.00763446,0.0077,-495494876.76,-0.3826,636422.31,0.001,
BTCV2,BTCV2,BTCV,Bitcoin Vault,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/BTCV2.jpg,active,67.29725562,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,9727875,21000000.0,654659290,13,24,0,2019-12-21T00:00:00Z,2020-02-21T00:00:00Z,2020-02-14T00:00:00Z,43,0,485.90709106,2020-08-01T00:00:00Z,8465433.44,0.51198049,0.0077,-4200470.33,-0.3316,5806950.0,0.0089,
THETA,THETA,THETA,Theta Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/theta.png,active,0.63577209,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,1000000000,1000000000.0,635772088,27,76,0,2018-01-16T00:00:00Z,2018-01-16T00:00:00Z,2018-08-29T00:00:00Z,44,0,0.777596,2020-09-29T00:00:00Z,17269606.74,0.02943595,0.0485,-6974610.88,-0.2877,29435946.56,0.0485,
KSM,KSM,KSM,Kusama,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/KSM.jpg,active,63.76228394,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,8980098,10000000.0,572591563,29,55,0,2019-07-31T00:00:00Z,2020-07-25T00:00:00Z,2019-12-31T00:00:00Z,45,1,63.82929815,2020-12-02T00:00:00Z,87490094.6,9.4018279,0.173,23987395.12,0.3777,84429336.62,0.173,
OMG,OMG,OMG,OMG Network,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/OMG.jpeg,active,3.85884547,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,140245398,140245398.0,541185320,169,414,2,2017-06-19T00:00:00Z,2017-06-19T00:00:00Z,2018-08-29T00:00:00Z,46,-1,25.57820681,2018-01-13T00:00:00Z,177010687.42,0.12604699,0.0338,-57267311.41,-0.2444,17677510.06,0.0338,
MKR,MKR,MKR,Maker,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/MKR.svg,active,559.14451837,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,907282,1000839.0,507302025,101,252,1,2017-12-21T00:00:00Z,2017-12-21T00:00:00Z,2018-09-07T00:00:00Z,47,0,1692.51197318,2018-01-20T00:00:00Z,34311021.74,24.0931154,0.045,-11881434.16,-0.2572,21772221.4,0.0448,
ONT,ONT,ONT,Ontology,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/ONT.png,active,0.57694153,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,820298021,1000000000.0,473263994,66,165,0,2018-03-08T00:00:00Z,2018-03-08T00:00:00Z,2018-08-29T00:00:00Z,48,0,9.9309043,2018-05-03T00:00:00Z,145594240.39,0.01483603,0.0264,-80705912.54,-0.3566,14043652.88,0.0306,
CUSDC,CUSDC,CUSDC,Compound USD Coin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/CUSDC.svg,active,0.02112069,2020-12-02T00:00:00Z,2020-12-02T20:59:00Z,21476105584,21476105584.0,453590256,5,11,0,2019-09-22T00:00:00Z,,2020-04-09T00:00:00Z,49,2,0.04344551,2020-09-11T00:00:00Z,2329148.37,0.00121806,0.0612,-2708830.84,-0.5377,23736575.22,0.0552,
COMP,COMP,COMP,Compound,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/COMP.png,active,109.76522262,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,3970390,10000000.0,435810772,90,207,5,2020-06-15T00:00:00Z,2020-06-16T00:00:00Z,2020-06-15T00:00:00Z,50,3,336.11988345,2020-06-21T00:00:00Z,66845335.24,2.77789146,0.026,-29822867.2,-0.3085,11194189.79,0.0264,
UMA,UMA,UMA,UMA,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/UMA.jpeg,active,7.84586859,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,55499823,101124454.0,435444316,42,87,0,2020-04-30T00:00:00Z,2020-07-30T00:00:00Z,2020-04-30T00:00:00Z,51,-1,25.51123115,2020-09-01T00:00:00Z,10851920.18,-0.07529657,-0.0095,-2158246.37,-0.1659,-4168744.16,-0.0095,
DOGE,DOGE,DOGE,Dogecoin,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/doge.svg,active,0.00335115,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,127347938810,,426762543,145,2280,1035,2014-01-21T00:00:00Z,2014-01-21T00:00:00Z,2018-09-12T00:00:00Z,52,0,0.01709563,2018-01-07T00:00:00Z,84009741.64,-2.33e-05,-0.0069,-31616700.38,-0.2734,-2920334.22,-0.0068,
PAX,PAX,PAX,Paxos Standard,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/pax.png,active,1.00032359,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,400156797,400156797.0,400286285,90,490,18,2018-09-27T00:00:00Z,2018-09-27T00:00:00Z,2018-09-29T00:00:00Z,53,1,1.03580715,2020-03-12T00:00:00Z,69669087.27,0.00797429,0.008,-32694876.0,-0.3194,-4303653.57,-0.0106,
AMPL,AMPL,AMPL,Ampleforth,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/AMPL.png,active,1.56781352,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,242632242,338858025.0,380402110,28,109,1,2019-06-27T00:00:00Z,2019-06-27T00:00:00Z,2019-06-27T00:00:00Z,54,1,3.78362496,2020-07-11T00:00:00Z,15445222.97,0.02300552,0.0149,1973784.95,0.1465,23138029.13,0.0648,
FTXTOKEN,FTXTOKEN,FTT,FTX Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/FTXTOKEN.png,active,4.50014898,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,84456963,342265553.0,380068914,12,25,0,2019-07-28T00:00:00Z,2019-07-29T00:00:00Z,2019-07-29T00:00:00Z,55,-6,4.67675772,2020-11-30T00:00:00Z,12503646.41,-0.04043796,-0.0089,-10514668.83,-0.4568,-63827231.33,-0.1438,
ZIL,ZIL,ZIL,Zilliqa,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/zil.svg,active,0.03172493,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,11457362438,21000000000.0,363484059,82,191,0,2018-01-25T00:00:00Z,2018-01-25T00:00:00Z,2018-08-29T00:00:00Z,56,1,0.19981882,2018-05-09T00:00:00Z,59678495.11,0.003305,0.1163,3683188.29,0.0658,37975208.4,0.1167,
BAT,BAT,BAT,Basic Attention Token,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/currencies/bat.svg,active,0.24224456,2020-12-02T00:00:00Z,2020-12-02T21:00:00Z,1482331733,1500000000.0,359086802,161,422,0,2017-06-03T00:00:00Z,2017-10-01T00:00:00Z,2018-08-29T00:00:00Z,57,-1,0.90352001,2018-01-09T00:00:00Z,54352167.18,0.00307377,0.0129,-37335779.4,-0.4072,4556345.47,0.0129,
